season,year,weekofyear,epiweek,total_cases,rate_overall,location
2014-15,2014,43,201443,0.1,0.1,network_all
2014-15,2014,44,201444,0.1,0.1,network_all
2014-15,2014,45,201445,0.2,0.2,network_all
2014-15,2014,46,201446,0.2,0.2,network_all
2014-15,2014,47,201447,0.5,0.5,network_all
2014-15,2014,48,201448,1.2,1.2,network_all
2014-15,2014,49,201449,2.3,2.3,network_all
2014-15,2014,50,201450,3.6,3.6,network_all
2014-15,2014,51,201451,6.0,6.0,network_all
2014-15,2014,52,201452,9.0,9.0,network_all
2014-15,2014,53,201453,8.5,8.5,network_all
2014-15,2015,1,201501,6.1,6.1,network_all
2014-15,2015,2,201502,4.2,4.2,network_all
2014-15,2015,3,201503,3.1,3.1,network_all
2014-15,2015,4,201504,2.7,2.7,network_all
2014-15,2015,5,201505,2.5,2.5,network_all
2014-15,2015,6,201506,2.0,2.0,network_all
2014-15,2015,7,201507,1.6,1.6,network_all
2014-15,2015,8,201508,1.4,1.4,network_all
2014-15,2015,9,201509,1.3,1.3,network_all
2014-15,2015,10,201510,1.2,1.2,network_all
2014-15,2015,11,201511,1.2,1.2,network_all
2014-15,2015,12,201512,1.1,1.1,network_all
2014-15,2015,13,201513,1.0,1.0,network_all
2014-15,2015,14,201514,1.0,1.0,network_all
2014-15,2015,15,201515,0.7,0.7,network_all
2014-15,2015,16,201516,0.5,0.5,network_all
2014-15,2015,17,201517,0.3,0.3,network_all
2015-16,2015,40,201540,0.1,0.1,network_all
2015-16,2015,41,201541,0.1,0.1,network_all
2015-16,2015,42,201542,0.1,0.1,network_all
2015-16,2015,43,201543,0.1,0.1,network_all
2015-16,2015,44,201544,0.1,0.1,network_all
2015-16,2015,45,201545,0.1,0.1,network_all
2015-16,2015,46,201546,0.1,0.1,network_all
2015-16,2015,47,201547,0.1,0.1,network_all
2015-16,2015,48,201548,0.1,0.1,network_all
2015-16,2015,49,201549,0.1,0.1,network_all
2015-16,2015,50,201550,0.1,0.1,network_all
2015-16,2015,51,201551,0.2,0.2,network_all
2015-16,2015,52,201552,0.2,0.2,network_all
2015-16,2016,1,201601,0.4,0.4,network_all
2015-16,2016,2,201602,0.3,0.3,network_all
2015-16,2016,3,201603,0.4,0.4,network_all
2015-16,2016,4,201604,0.6,0.6,network_all
2015-16,2016,5,201605,0.8,0.8,network_all
2015-16,2016,6,201606,1.2,1.2,network_all
2015-16,2016,7,201607,2.0,2.0,network_all
2015-16,2016,8,201608,2.5,2.5,network_all
2015-16,2016,9,201609,3.3,3.3,network_all
2015-16,2016,10,201610,4.2,4.2,network_all
2015-16,2016,11,201611,3.4,3.4,network_all
2015-16,2016,12,201612,3.0,3.0,network_all
2015-16,2016,13,201613,2.6,2.6,network_all
2015-16,2016,14,201614,1.9,1.9,network_all
2015-16,2016,15,201615,1.4,1.4,network_all
2015-16,2016,16,201616,1.2,1.2,network_all
2015-16,2016,17,201617,0.8,0.8,network_all
2016-17,2016,40,201640,0.1,0.1,network_all
2016-17,2016,41,201641,0.1,0.1,network_all
2016-17,2016,42,201642,0.1,0.1,network_all
2016-17,2016,43,201643,0.1,0.1,network_all
2016-17,2016,44,201644,0.1,0.1,network_all
2016-17,2016,45,201645,0.2,0.2,network_all
2016-17,2016,46,201646,0.2,0.2,network_all
2016-17,2016,47,201647,0.3,0.3,network_all
2016-17,2016,48,201648,0.4,0.4,network_all
2016-17,2016,49,201649,0.6,0.6,network_all
2016-17,2016,50,201650,0.8,0.8,network_all
2016-17,2016,51,201651,1.6,1.6,network_all
2016-17,2016,52,201652,3.3,3.3,network_all
2016-17,2017,1,201701,4.2,4.2,network_all
2016-17,2017,2,201702,3.8,3.8,network_all
2016-17,2017,3,201703,3.8,3.8,network_all
2016-17,2017,4,201704,3.4,3.4,network_all
2016-17,2017,5,201705,3.8,3.8,network_all
2016-17,2017,6,201706,4.7,4.7,network_all
2016-17,2017,7,201707,5.1,5.1,network_all
2016-17,2017,8,201708,5.4,5.4,network_all
2016-17,2017,9,201709,3.3,3.3,network_all
2016-17,2017,10,201710,2.9,2.9,network_all
2016-17,2017,11,201711,2.8,2.8,network_all
2016-17,2017,12,201712,3.1,3.1,network_all
2016-17,2017,13,201713,2.8,2.8,network_all
2016-17,2017,14,201714,2.0,2.0,network_all
2016-17,2017,15,201715,1.4,1.4,network_all
2016-17,2017,16,201716,1.0,1.0,network_all
2016-17,2017,17,201717,0.6,0.6,network_all
2017-18,2017,40,201740,0.1,0.1,network_all
2017-18,2017,41,201741,0.1,0.1,network_all
2017-18,2017,42,201742,0.2,0.2,network_all
2017-18,2017,43,201743,0.2,0.2,network_all
2017-18,2017,44,201744,0.3,0.3,network_all
2017-18,2017,45,201745,0.3,0.3,network_all
2017-18,2017,46,201746,0.4,0.4,network_all
2017-18,2017,47,201747,0.8,0.8,network_all
2017-18,2017,48,201748,1.2,1.2,network_all
2017-18,2017,49,201749,1.4,1.4,network_all
2017-18,2017,50,201750,2.3,2.3,network_all
2017-18,2017,51,201751,4.6,4.6,network_all
2017-18,2017,52,201752,8.2,8.2,network_all
2017-18,2018,1,201801,10.2,10.2,network_all
2017-18,2018,2,201802,9.8,9.8,network_all
2017-18,2018,3,201803,8.9,8.9,network_all
2017-18,2018,4,201804,8.5,8.5,network_all
2017-18,2018,5,201805,7.8,7.8,network_all
2017-18,2018,6,201806,7.0,7.0,network_all
2017-18,2018,7,201807,6.3,6.3,network_all
2017-18,2018,8,201808,5.2,5.2,network_all
2017-18,2018,9,201809,3.6,3.6,network_all
2017-18,2018,10,201810,2.8,2.8,network_all
2017-18,2018,11,201811,2.8,2.8,network_all
2017-18,2018,12,201812,2.3,2.3,network_all
2017-18,2018,13,201813,2.2,2.2,network_all
2017-18,2018,14,201814,1.9,1.9,network_all
2017-18,2018,15,201815,1.3,1.3,network_all
2017-18,2018,16,201816,1.0,1.0,network_all
2017-18,2018,17,201817,1.0,1.0,network_all
2018-19,2018,40,201840,0.1,0.1,network_all
2018-19,2018,41,201841,0.1,0.1,network_all
2018-19,2018,42,201842,0.1,0.1,network_all
2018-19,2018,43,201843,0.1,0.1,network_all
2018-19,2018,44,201844,0.2,0.2,network_all
2018-19,2018,45,201845,0.2,0.2,network_all
2018-19,2018,46,201846,0.2,0.2,network_all
2018-19,2018,47,201847,0.3,0.3,network_all
2018-19,2018,48,201848,0.6,0.6,network_all
2018-19,2018,49,201849,0.7,0.7,network_all
2018-19,2018,50,201850,1.2,1.2,network_all
2018-19,2018,51,201851,1.9,1.9,network_all
2018-19,2018,52,201852,2.9,2.9,network_all
2018-19,2019,1,201901,3.0,3.0,network_all
2018-19,2019,2,201902,2.5,2.5,network_all
2018-19,2019,3,201903,2.1,2.1,network_all
2018-19,2019,4,201904,2.3,2.3,network_all
2018-19,2019,5,201905,3.0,3.0,network_all
2018-19,2019,6,201906,3.5,3.5,network_all
2018-19,2019,7,201907,3.8,3.8,network_all
2018-19,2019,8,201908,4.6,4.6,network_all
2018-19,2019,9,201909,4.6,4.6,network_all
2018-19,2019,10,201910,5.2,5.2,network_all
2018-19,2019,11,201911,5.5,5.5,network_all
2018-19,2019,12,201912,4.8,4.8,network_all
2018-19,2019,13,201913,3.6,3.6,network_all
2018-19,2019,14,201914,2.7,2.7,network_all
2018-19,2019,15,201915,1.8,1.8,network_all
2018-19,2019,16,201916,1.1,1.1,network_all
2018-19,2019,17,201917,0.8,0.8,network_all
2019-20,2019,40,201940,0.1,0.1,network_all
2019-20,2019,41,201941,0.1,0.1,network_all
2019-20,2019,42,201942,0.2,0.2,network_all
2019-20,2019,43,201943,0.2,0.2,network_all
2019-20,2019,44,201944,0.2,0.2,network_all
2019-20,2019,45,201945,0.3,0.3,network_all
2019-20,2019,46,201946,0.4,0.4,network_all
2019-20,2019,47,201947,0.6,0.6,network_all
2019-20,2019,48,201948,0.9,0.9,network_all
2019-20,2019,49,201949,1.3,1.3,network_all
2019-20,2019,50,201950,1.7,1.7,network_all
2019-20,2019,51,201951,2.4,2.4,network_all
2019-20,2019,52,201952,4.5,4.5,network_all
2019-20,2020,1,202001,5.3,5.3,network_all
2019-20,2020,2,202002,4.5,4.5,network_all
2019-20,2020,3,202003,4.2,4.2,network_all
2019-20,2020,4,202004,4.6,4.6,network_all
2019-20,2020,5,202005,5.3,5.3,network_all
2019-20,2020,6,202006,6.0,6.0,network_all
2019-20,2020,7,202007,5.0,5.0,network_all
2019-20,2020,8,202008,5.0,5.0,network_all
2019-20,2020,9,202009,4.4,4.4,network_all
2019-20,2020,10,202010,4.0,4.0,network_all
2019-20,2020,11,202011,2.8,2.8,network_all
2019-20,2020,12,202012,1.3,1.3,network_all
2019-20,2020,13,202013,0.3,0.3,network_all
2019-20,2020,14,202014,0.1,0.1,network_all
2019-20,2020,15,202015,0.1,0.1,network_all
2019-20,2020,16,202016,0.1,0.1,network_all
2019-20,2020,17,202017,0.0,0.0,network_all
